Strategy,FDR (%),RCA (%),RSR (%),RL (s),RC (tokens),MTTR_A (s),MTCR_A (tok),CCF (%),TOR (%),CNRE
DRAC (Fixed Heuristic),100.0,50.0,62.5,1.856,98.9,0.846,90.4,100.0,24.7,0.094
DRAC Full System,100.0,50.0,62.5,1.943,93.0,1.248,89.4,100.0,23.2,0.095
Reflexion (In-band),100.0,0.0,50.0,1.782,64.8,2.077,64.5,87.5,16.2,0.096
Naive Retry,100.0,0.0,12.5,0.316,23.4,0.273,36.0,87.5,5.8,0.125
Pure Rollback,100.0,0.0,12.5,1.246,20.0,0.204,20.0,87.5,5.0,0.061
